id,title,price,promo_price,link
3869185,Кукла Barbie Looks брюнетка GXB29,3499,2800,https://www.detmir.ru/product/index/id/3869185/
3345406,Кукла Barbie BMR1959 коллекционная с веснушками GNC49,3499,,https://www.detmir.ru/product/index/id/3345406/
4682411,Набор игровой Miraculous Кукла Супер-Кот мини 50403,2629,1579,https://www.detmir.ru/product/index/id/4682411/
3885713,Кукла Карапуз София с аксессуарами 315378,3999,3283,https://www.detmir.ru/product/index/id/3885713/
3678987,Набор игровой Barbie Гардероб мечты раскладной GBK12,5099,,https://www.detmir.ru/product/index/id/3678987/
4682442,Набор игровой Miraculous Кукла Маринет 50005,4429,2659,https://www.detmir.ru/product/index/id/4682442/
4007979,Кукла Сказочный патруль Сказочная магия Варя FPSM001,2999,1799,https://www.detmir.ru/product/index/id/4007979/
3491101,Кукла Disney Princess Hasbro Золушка F08975X6,1299,999,https://www.detmir.ru/product/index/id/3491101/
3452134,Кукла Barbie Экстра в радужном пальто GVR04,2999,2408,https://www.detmir.ru/product/index/id/3452134/
2994058,Набор Demi Star карета с лошадью,4599,2799,https://www.detmir.ru/product/index/id/2994058/
3011289,Кукла модельная Demi Star Невеста,1199,699,https://www.detmir.ru/product/index/id/3011289/
3256300,Кукла Demi Star Русалка 99241-2,699,419,https://www.detmir.ru/product/index/id/3256300/
3152845,Набор Demi Star с куклой модельной и близнецами 99127,1699,999,https://www.detmir.ru/product/index/id/3152845/
4007968,Кукла Сказочный патруль Кошечки Маша FPCAT005,2799,2450,https://www.detmir.ru/product/index/id/4007968/
3251701,Кукла Hairdorables Белла 23821,5299,2299,https://www.detmir.ru/product/index/id/3251701/
3195500,Кукла Disney Frozen Холодное Сердце2 Эльза E6709ES0,1399,,https://www.detmir.ru/product/index/id/3195500/
3496832,Набор Barbie Зоомагазин  GRG90,4399,3435,https://www.detmir.ru/product/index/id/3496832/
3491173,Кукла Disney Princess Hasbro Рапунцель в платье с кармашками F07815X0,2799,2067,https://www.detmir.ru/product/index/id/3491173/
3145865,Кукла Harry Potter Harry Potter Гермиона Грейнджер FYM51,2939,,https://www.detmir.ru/product/index/id/3145865/
4007468,Набор игровой KindiKids Кукла Синди Попс с аксессуарами 38830,4999,3999,https://www.detmir.ru/product/index/id/4007468/
3152844,Набор Demi Star Гуляем с собакой 99123,1499,899,https://www.detmir.ru/product/index/id/3152844/
3345367,Набор игровой Barbie для маникюра и педикюра GHN07,2799,,https://www.detmir.ru/product/index/id/3345367/
4682438,Набор игровой Miraculous Miraculous Кукла Леди Баг 50001,4429,3100,https://www.detmir.ru/product/index/id/4682438/
3491178,Кукла Disney Princess Hasbro Белоснежка F09005X6,1299,699,https://www.detmir.ru/product/index/id/3491178/
3195501,Кукла Disney Frozen ХолодноеСердце 2 Анна E6710ES0,1399,,https://www.detmir.ru/product/index/id/3195501/
4682439,Набор игровой Miraculous Кукла Супер Кот 50002,4429,2999,https://www.detmir.ru/product/index/id/4682439/
3491102,Кукла Disney Disney Princess Белль F08985X6,1299,999,https://www.detmir.ru/product/index/id/3491102/
3491177,Кукла Disney Princess Hasbro Аврора F08995X6,1299,699,https://www.detmir.ru/product/index/id/3491177/
3120963,Кукла Demi Star беременная 99222,899,539,https://www.detmir.ru/product/index/id/3120963/
3491184,Кукла Disney Frozen Холодное сердце 2 Поющая Анна E88815X2,2799,1999,https://www.detmir.ru/product/index/id/3491184/
4483612,Кукла Карапуз Жила была Царевна 316887,3999,1999,https://www.detmir.ru/product/index/id/4483612/
3011290,Кукла модельная Demi Star Бойфренд 99119,699,419,https://www.detmir.ru/product/index/id/3011290/
3091372,Кукла Demi Star модельная 99180,399,239,https://www.detmir.ru/product/index/id/3091372/
3869116,Кукла Barbie Экстра с переплетенными резинками хвостиками GXF10,3999,2499,https://www.detmir.ru/product/index/id/3869116/
3496794,Кукла Barbie Дримтопия 2в1 Принцесса GTF92,2599,1619,https://www.detmir.ru/product/index/id/3496794/
3199217,Кукла Сказочный патруль Casual New Аленка 4427-4,1999,1199,https://www.detmir.ru/product/index/id/3199217/
4007947,Кукла Сказочный патруль Кошечки Аленка FPCAT004,2799,2450,https://www.detmir.ru/product/index/id/4007947/
3152851,Набор Demi Star Педиатр с модельной куклой 99232,1399,799,https://www.detmir.ru/product/index/id/3152851/
4576810,Кукла Карапуз Сказочный патруль Снежка 314648,3999,,https://www.detmir.ru/product/index/id/4576810/
4007980,Кукла Сказочный патруль Сказочная магия Алиса FPSM002,2999,1799,https://www.detmir.ru/product/index/id/4007980/
3491180,Кукла Disney Princess Hasbro Мерида F0903ES2,1299,659,https://www.detmir.ru/product/index/id/3491180/
3749016,Кукла Disney Frozen Холодное сердце 2 Эльза F07965X0,1399,1199,https://www.detmir.ru/product/index/id/3749016/
3085099,Кукла Demi Star в Розовом платье OTN0024633P,659,439,https://www.detmir.ru/product/index/id/3085099/
3737448,Кукла Demi Star в платье единорог Фиолетовое 99666-2,499,349,https://www.detmir.ru/product/index/id/3737448/
3948070,Кукла L.O.L. Surprise! OMG 2021 Holiday 576518EUC,12999,6940,https://www.detmir.ru/product/index/id/3948070/
